ricf_oid_2013	ba_rdt	ba_cn	ba_en	ba_rid	ba_org	ba_msn	ba_srv	ba_ntr	ba_rng	ba_reg	ba_sup	ba_fdt	ba_fnd	ba_add	ba_zip	ba_prv	ba_ct	ba_gis	ba_wb	ba_chr	ba_sec	ba_cpn	ba_cpp	ba_phn	ba_fax	ba_eml	ba_gvm	ba_pgv	ba_nfe	ba_nv	ba_evl	ba_sf	ba_tax	ba_src	ba_bn	ba_sn	ba_mn	ba_brn	ba_rn	ba_pbl	ba_pm	ba_po	ba_ai	ba_ap	ba_hr	ba_nc	ba_fr	ba_tr	ba_rcp	ba_mt	ba_trn	ricf_oid	ba_uscc
2838	2013	秦皇岛市志愿服务基金会	qinhuangdao Voluntary Service Foundation	冀民基证字第0031号	579569633	大力普及志愿理念，弘扬志愿服务精神，支持和推动志愿服务活动，为人们“奉献他人，提升自己”搭建平台，引导人们多做好事、增长好心、争当好人，为不断提高公民文明素质和社会文明程	筹集志愿服务资金，接受捐赠，管理、运作基金，资助、奖励志愿服务项目、文化培育、志愿者权益保障等。	非公募	地方	省级民政部门	河北省委宣传部	2011-07-08 00:00:00	401万元		66000	Hebei Sheng	Qinhuangdao Shi	[39.924004, 119.58526]		曹丽荣	韩立军	袁铭光	会计	0335-5918865	0335-5918865	qhdszyfwjjh@126.com	0.0	0.0	5.0	2.0	未参评	0.0	公益性捐赠税前扣除资格																			2838	
2839	2013	秦皇岛摩诃佛缘慈善基金会	Qinhuangdao Maha Buddhism Charity Foundat	冀民基证字第0053号	84984915	组织和团结社会各界力量，继承中华民族扶贫济困的传统美德，开展多种形式的教育、公益救助，文化交流等弘法活动，为促进社会和谐做工作。	开展助学、养老、健康、救灾等慈善公益活动；佛教文化交流；援建佛教场所；其他慈善公益活动。	非公募	地方	省级民政部门	河北省民族宗教事务厅	2013-12-09 00:00:00	200万元		66100	Hebei Sheng	Qinhuangdao Shi	[39.825268, 119.5087]		班颁	高欣	左红见	会计	0335-7093993		2860415488@qq.com	0.0	0.0	3.0	0.0	未参评	0.0	无																			2839	591300000849849151
2840	2013	紫金山天文台小行星基金会	Zijinshan Observatory Asteroid Foundation	苏民基证字第00012号	50917110-1	开展小行星命名，接受捐赠，支持近地天体探测、小行星发现和行星科学研究，参加国际预防近地天体撞击地球的预警工作，推进科学普及教育	开展小行星命名、接受捐赠；建造仪器、设备、资助和奖励近地天体探测和行星科学研  究；参加国际预防近地天体碰撞的预警工作；开展公益性的科普教育活动。	非公募	地方	省级民政部门	南京紫金山天文台	1993-09-25 00:00:00	220万元		210008	Jiangsu Sheng	Nanjing Shi	[32.059357, 118.780624]		杨捷兴	汪琦	汪琦	副理事长兼秘书长	025-83332135	025-83332135	WQ_pmo@126.com	0.0	0.0	0.0	0.0		0.0	公益性捐赠税前扣除资格																			2840	533200005091711017
2841	2013	紫金矿业慈善基金会	Zijin Mining Charity Foundation	基证字第1105号	71783383-5	致力于公益慈善事业，履行企业公民责任，推动社会和谐进步，促进环境生态平衡。	开展扶贫、济困、赈灾等社会救助工；开展助学助教、环境保护等公益慈善事业；其它符合本基金会宗旨的社会慈善活动。	非公募	全国	民政部	民政部	2012-09-04 00:00:00	20,000万元	福建省龙岩市上杭县紫金路1号紫金大厦	364200	Fujian Sheng	Longyan Shi	[25.053923, 116.42443]		林水清	苏碧亮	苏碧亮	秘书长	0597-3833501		395870421@qq.com	0.0	0.0	2.0	200.0	未参评	0.0	公益性捐赠税前扣除资格					0.0	0.0	未举办刊物											 闽地 税字350823717833853	2841	53100000717833835N
2842	2013	红河哈尼族彝族自治州见义勇为基金会	Honghe Foundation for Justice and Courage	云南基证字第001号	76042933-6	遵守遵守宪法、法律、法规和政策，遵守社会道德风尚，发扬中华民族传统美德，倡导见义勇为，弘扬社会正气，促进社会治安综合治理和社会主义精神文明建设，为红河州的改革、发展和稳定	宣传见义勇为先进事迹，弘扬社会正气；对作出突出贡献的见义勇为公民提供奖励资金和困难补助；募集、管理和使用基金。	公募	地方	省级民政部门	云南省委政法委	2003-08-08 00:00:00	410万元		661100	Yunnan Sheng	Honghe Hanizuyizuzizhizhou			徐国学	李天福	叶翠	出纳	0873-3730600	0873-3730600	hhzhlb@sina.com	0.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			2842	53530000760429336W
2843	2013	纪念苏天·横河仪器仪表人才发展基金会	Commemorate Sutian · Yokogawa Instruments	基证字第1028号	50000685-5	培养中国仪器仪表行业人才，推动中日仪器仪表企业合作。	选派仪器仪表行业高级管理人员出国培训,邀请外国专家来华讲学	非公募	全国	民政部	国务院国有资产监督管理委员会	1991-10-10 00:00:00	810万元	北京西城区三里河路46号	100823	Beijing Shi	Beijing	[39.912544, 116.33552]		向晓波	薛一平	谭仲	秘书处工作人员	010-68594898	010-68595175	eagle7114@sina.com	0.0	0.0	4.0	0.0	未参评	0.0	无					0.0	0.0	未举办刊物											京税证字第110102500006855	2843	53100000500006855E
2844	2013	纺织之光科技教育基金会	Textile Vision Science and Education Fund	基证字第1054号	50002103-5	继承和发扬新中国纺织工业奠基人钱之光同志为代表的老一辈无产阶级革命家、实业家开创新中国纺织事业的奋斗精神，缅怀钱之光老部长为我国纺织事业所做的卓越贡献，促进纺织科技教育事业发展，造就大批优秀人才，振兴我国纺织事业。	专项资助科技交流成果推广咨询服务	非公募	全国	民政部	国务院国有资产监督管理委员会	2008-05-08 00:00:00	2,000万元	北京市东城区东长安街12号	100742	Beijing Shi	Beijing	[39.907494, 116.407776]	http://www.fzjjh.com	高勇	张翠竹	赵芝娥	办公室副主任	010-85229540	010-85229540	fzjjh@cntac.org.cn	0.0	0.0	3.0	10.0	3A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格					0.0	0.0	内部发行刊物											110101500021035	2844	53100000500021035A
2845	2013	绍兴县中厦慈善基金会	Shaoxing Zhongsha Charity Foundation	浙基证字第52045号	50188376-1	济困解难，行崇仁关爱；奉献公益，促文明进步。	以货币或实物，为本地及社会提供济困助学、安老帮残、崇义解困、赈灾扶贫等资助。	非公募	地方	省级民政部门	浙江省民政厅	2008-07-02 00:00:00	200万元		312050	Zhejiang Sheng	Shaoxing Shi	[29.89657, 120.63957]	http://zjnpo.foundationcenter.org.cn/sxxzxcsjjh	杨燕清	吴玉宝	蔡兴		0575-85767209	0575-85761981	85763777@163.com	0.0	0.0	1.0	5.0	   	0.0	无																			2845	53330000501883761A
2846	2013	绍兴县人民教育基金会	Shaoxing County People's Education Founda	浙基证字第51016号	50187604-3	人民教育人民办，办好教育为人民。	资助贫困师生，改善办学条件；奖励教育先进集体、个人。	公募	地方	省级民政部门	浙江省教育厅	1989-02-21 00:00:00	420万元		312030	Zhejiang Sheng	Shaoxing Shi	[30.081585, 120.48266]	http://zjnpo.foundationcenter.org.cn/sxxrmjyjjh	余茂法	许吉安	王永祥	会计	0575-85584370	0575-84126624	wyxkk88@126.com	0.0	0.0	0.0	3.0	   	0.0	公益性捐赠税前扣除资格																			2846	53330000501876043L
2847	2013	绍兴县小百花越剧基金会	Shaoxing Xiaobaihua Yue Opera Foundation	浙基证字第52017号	50187302-9	繁荣越剧事业、鼓励艺术精品、培养优秀人才	（一）统一接受海外华侨、港澳台胞和社会各界人士对戏曲的捐赠，统一接受民营企业和人私企业为改善戏曲事业的条件而对剧团的捐赠；（二）表彰奖励对戏曲有较大贡献的个人；（三）推进和繁荣戏曲事业。	非公募	地方	省级民政部门	浙江省文化厅	1993-12-28 00:00:00	250万元	绍兴市柯桥区金柯桥大道百花路1号	312030	Zhejiang Sheng	Shaoxing Shi	[30.07659, 120.49546]	http://zjnpo.foundationcenter.org.cn/sxxxbhyjjjh	吴凤花	陈锦高	沈黎萍	会计	0575-85272108	0575-84128525	sxxbh@126.com	0.0	0.0	0.0	0.0	   	0.0	无					0.0	0.0	未举办刊物												2847	53330000501873029F
2848	2013	绍兴市上虞区人民教育基金会	Shangyu People's Education Foundation	浙基证字第51020号	50187707-0	为推动全社会关心和支持教育，筹集资金，促进我市教育事业的发展，加强社会主义物质文明和精神文明建设，为现代化建设培养有理想、有道德、有文化、有纪律的新一代作出贡献。	资助学校添置设备和基础建设、特困家庭子女求学。	公募	地方	省级民政部门	浙江省教育厅	2002-10-01 00:00:00	400万元		312300	Zhejiang Sheng	Shaoxing Shi	[30.03112, 120.87272]	http://zjnpo.foundationcenter.org.cn/sysrmjyjjh/index.html	杨根苗	金坚强	张文娟	出纳	0575-82134070	0575-82136267	178923598@QQ.com	0.0	0.0	0.0	25.0		0.0	公益性捐赠税前扣除资格																			2848	53330000501877070M
2849	2013	绍兴市人民教育基金会	Shaoxing People's Education Foundation	浙基证字第51012号	50187538-2	支持学校建设,资助贫困学生,奖励优秀教师及学生,促进教育发展	资助贫困学生、学校建设和更新设备；奖励先进教育工作者和优秀学生	公募	地方	省级民政部门	浙江省教育厅	1990-06-30 00:00:00	410万元		312000	Zhejiang Sheng	Shaoxing Shi	[29.99938, 120.57909]	http://zjnpo.foundationcenter.org.cn/sxsrmjyjjh	赵旭昊	程富根	冯家江		0575-85134546	0575-85223302	Ljyamg1953@163.com	0.0	0.0	0.0	0.0	   	0.0	公益性捐赠税前扣除资格																			2849	53330000501875382F
2850	2013	绍兴市见义勇为基金会	Shaoxing Foundation for Justice and Coura	浙基证字第51045号	50187250-1	弘扬见义勇为精神，匡扶社会主义正气，维护社会治安。	奖励为维护社会稳定作出突出贡献的人员。	公募	地方	省级民政部门	浙江省公安厅	1989-02-10 00:00:00	700万元		312000	Zhejiang Sheng	Shaoxing Shi	[29.993746, 120.61455]	http://zjnpo.foundationcenter.org.cn/sxsjyywjjh	杜桐强	张利庆	刘安娜	工作人员	0575-88582127	0575-88582351	sxsjyywjjh2009@163.com	0.0	0.0	2.0	0.0	   	0.0	公益性捐赠税前扣除资格																			2850	53330000501872501R
2851	2013	绍兴市越城区人民教育基金会	Shaoxing Yuecheng People's Education Foun	浙基证字第51084号	78182126-5	遵守国家宪法、法律法规和政策，遵守社会道德风尚，为振兴越城教育动员社会各方面力量，多渠道筹集资金，资助贫困家庭子女就学，支持各级各类学校建设，奖励优秀教师、品学兼优学生和	筹集教育基金及专项教育资金；资助贫困家庭学生；资助学校修建校舍和更新教学设备、改善办学条件；奖励先进教育工作者和优秀学生；奖励热心赞助教育的团体、人士。	公募	地方	省级民政部门	浙江省教育厅	2005-11-01 00:00:00	400万元		312000	Zhejiang Sheng	Shaoxing Shi	[29.994722, 120.584076]	http://zjnpo.foundationcenter.org.cn/sxsycqrmjyjjh	徐锡类	俞海珊	许贤良	会计	0575-88335173	0575-88317005		0.0	0.0	0.0	10.0	   	0.0	公益性捐赠税前扣除资格																			2851	53330000781821265L
2852	2013	绩溪县教育基金会	Jixi Education Foundation	基证字第0029号	55329685-X	动员和鼓励各机关、企事业单位、社会团体和个人捐资奖优助学，为推动绩溪教育事业的发展，提高教育质量、培养优秀人才贡献力量。  	资助、奖优、接受捐赠等	公募	地方	省级民政部门	安徽省教育厅	2010-03-30 00:00:00	400万元		245300	Anhui Sheng	Xuancheng Shi	[30.065392, 118.596344]		章熙庞	王海萍	王海萍	秘书长	0563-8162769	0563-8153383	18905637613@189.cn	3.0	0.0	0.0	5.0	未参评	0.0	无																			2852	5334000055329685XE
2853	2013	绵阳市关心下一代基金会	Mianyang Youth Care Foundation	（川）基证字第063号	76113327	倡导爱心奉献，致力公益慈善，倾心关爱下一代，构建和谐作贡献。	1、依法开展资金募集活动2、资助贫困、病残青少年儿童健康成长3、资助和组织开展青少年儿童各种活动4、资助和组织开展有关青少年儿童健康成长的各种公益活动5、奖励优秀青少年儿童和从	公募	地方	省级民政部门	四川省关心下一代工作委员会	2013-08-07 00:00:00	400万元		621000	Sichuan Sheng	Mianyang Shi	[31.457336, 104.7563]		杨步润	向赟	伍军		0816-2229160		634165080@qq.com	0.0	0.0	0.0	0.0	未参评	0.0	无																			2853	53510000076113327K
2854	2013	绵阳市教育基金会	Mianyang Education Foundation	（川）基证字第035号	50447794-5	接收捐赠，利用增值资金奖教助学。	资助贫困学生，奖励优秀教师，开展多种支教活动。	公募	地方	省级民政部门	四川省教育厅	1995-09-15 00:00:00	450万元		621000	Sichuan Sheng	Mianyang Shi	[31.449532, 104.75156]		杨明辉	叶强	张楠	绵阳市学生资助管理中心	0816-2213237	0816-2213237	511981792@qq.com	0.0	0.0	2.0	0.0	未参评	0.0	无																			2854	53510000504477945J
2855	2013	绵阳市涪城区益生教育基金会	Mianyang Fucheng Yisheng Education Founda	基证字531号	59505535-X	支持教育发展，为教育发展提供服务、奖教、助学。	奖励优秀师生、优秀成果；资助贫困师生；提供课题经费；开展多种支教活动。	非公募	地方	省级民政部门	绵阳市教育局	2012-04-17 00:00:00	200万元		621051	Sichuan Sheng	Mianyang Shi	[31.45505, 104.72287]	http://home.fcedu.net/list.php?fid=86	孔占西	缪丽娟	杨礴	会计	0861-2351876	0861-2368991	503658975@QQ.COM	0.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			2855	5351000059505535XC
2856	2013	缙云县人民教育基金会	Jinyun People's Education Foundation	浙基证字第51013号	50187733-7	开展经常性的全县助学、助教、改善办学条件活动。	资助贫困生,改善办学,奖励先进，接受单位和个人提供的资金和财产捐赠。	公募	地方	省级民政部门	浙江省教育厅	2003-06-30 00:00:00	400万元		321400	Zhejiang Sheng	Lishui Shi	[28.659279, 120.091576]	http://zjnpo.foundationcenter.org.cn/jyxrmjyjjh	徐锡良	朱明华	丁云英	出纳	0578-3122540		jjh@zjjyedu.net	0.0	0.0	1.0	0.0	   	0.0	公益性捐赠税前扣除资格																			2856	533300005018773378
2857	2013	罗定市泗纶庭英教育基金会	Luoding Silun Tingying Education Foundati	粤基证字第0189号	56080242-3	帮助罗定市泗纶镇户籍因家庭贫困而面临失学且品学兼优的学生继续完成学业,努力营造社会各界互敬互爱、互帮互助、勤奋好学的和谐氛围。	对生活特别贫困且品学兼优的罗定市泗纶镇户籍学生进行资助；扶贫济困。	非公募	地方	省级民政部门	广东省民政厅	2010-08-11 00:00:00	200万元		527200	Guangdong Sheng	Yunfu Shi	[22.743475, 111.32117]		黄丽宇	沈小敏	李金玲	监事	0766-3738111	0766-3738113	TYJIJIN@163.COM	0.0	0.0	1.0	0.0		0.0	非营利组织免税资格																			2857	534400005608024237
2858	2013	罗定市泷州教育基金会	Luoding Longzhou Education Foundation	粤基证字第0191号	56082992-5	助学、奖学，促进罗定市教育事业发展。	1、接受募捐资金、管理和使用；  2、资助高考成绩优秀的贫困学生；  3、奖励高考成绩特别优秀的学生和教育教学工作成绩突出的教师；  4、改善教育教学环境。  	非公募	地方	省级民政部门	广东省民政厅	2010-08-24 00:00:00	300万元		527200	Guangdong Sheng	Yunfu Shi	[22.743437, 111.583916]	http://ldsjjh.luoding.gov.cn/	钟雪芳	钟雪芳	陈凤芝	办公室主任	0766-3923206	0766-3923206	ldjjh3720668@163.com	0.0	0.0	5.0	5.0		0.0	公益性捐赠税前扣除资格																			2858	53440000560829925U
2859	2013	老牛基金会	Lao Niu Foundation	基证字第J0035号	66731539-3	渡人渡己，心怀感恩；树人树木，责任天下	面向环境保护、文化教育、医疗卫生、救灾帮困等公益慈善事业。	非公募	地方	省级民政部门	内蒙古自治区人民政府金融工作办公室	2004-12-28 00:00:00	200万元		10010	Neimenggu Zizhiqu	Huhehaote Shi	[40.723957, 111.13949]	http://www.lnfund.org	张醒生	雷永胜	任丽娟		0471-3250166	0471-3250166	lnf@lnfund.org 	0.0	0.0	26.0	13.0	未参评	0.0	非营利组织免税资格																			2859	531500006673153930
2860	2013	聊城大学教育发展基金会	Liaocheng University Education Developmen	鲁基证字第000074号	54971187	为推动聊城大学教育事业的发展，多渠道筹集办学资金，接受企业、社会团体、个人的支持和捐助，提高教育质量和学术水平。	资助贫困学生完成学业；奖励优秀学生和优秀教师；资助学校教学和科研项目；加强国内外学术交流与科研活动；支持学校建设与发展的公益项目；按照捐赠者的意愿进行的其他资助项目。	非公募	地方	省级民政部门	山东省教育厅	2012-10-10 00:00:00	200万元		252000	Shandong Sheng	Liaocheng Shi	[36.42742, 116.01022]		李喆	王希莲	蘧广震	办公室秘书	0635-8239039	0635-8239000	wangxilian@lcu.edu.cn	0.0	0.0	3.0	0.0	        	0.0	公益性捐赠税前扣除资格																			2860	53370000MJD675529T
2861	2013	聊城市牧琳爱爱心基金会	Liaocheng Mulin'ai Charity Foundation	鲁基证字第P0001号	08715720-2	弘扬人道主义精神，帮扶救助弱势群体，致力公益慈善事业，推动社会和谐进步。	1、资助贫困学生；　　　　2、奖励优秀医疗工作者，资助医护培训和医疗设备；　　　　3、救助贫困患者；　　　　4、资助社会福利机构设施建设；5、开展对外友好交流合作。　　　　5、加强对外友好交流，开展合作。	非公募	地方	市级民政部门	聊城市民政局	2013-12-13 00:00:00	200万元	聊城市兴华东路71号	252000	Shandong Sheng	Liaocheng Shi	[36.463375, 115.9935]					秘书长	(0635 )-8321621	(0635 )-8320212	eunicelove@126.com	0.0	0.0	0.0	0.0		0.0						0.0	0.0	未举办刊物											无	2861	53371500MJE9600221
2862	2013	聊城市见义勇为基金会	Liaocheng Foundation for Justice and Cour	鲁基证字第000071号	599276547	维护社会正义，弘扬社会正气，促进社会公平正义	（一）宣传见义勇为先进事迹；（二）表彰见义勇为人员；（三）组织开展各种活动，推动见义勇为事业；（四）组织开展调查研究、咨询服务和对外交流；（五）开展各种形式的基金募集活动	公募	地方	省级民政部门	中共山东省委政法委员会	2012-07-06 00:00:00	400万元		252001	Shandong Sheng	Liaocheng Shi	[36.457096, 115.99686]		唐华	魏强	张露真		(0635 )-8228602	(0635 )-8228602		0.0	0.0	2.0	0.0		0.0	公益性捐赠税前扣除资格																			2862	53370000MJD676871F
2863	2013	聊城市陈光教育基金会	Liaocheng Chenguang Education Foundation	鲁基证字第000027号	79866864-X	激励学生勤奋学习，培育英才，资助品学兼优，家庭困难的学生完成高中学业，回报家乡，回报社会，报效祖国。	奖励和资助聊城一中品学兼优，家庭困难的学生。  	非公募	地方	省级民政部门	聊城市教育局	2007-02-08 00:00:00	200万元		252000	Shandong Sheng	Liaocheng Shi	[36.434647, 115.988495]	http://www.lcjgjt.com	查绪坤	郭东光	丁学伟	办公室主任	0635-8208666	0635-8208666	lcjgjt@163.com	0.0	0.0	0.0	0.0		0.0																				2863	53370000MJD675641R
2864	2013	肇庆市教育基金会	Zhaoqing Education Foundation	粤基证字第0086号	76291074-8	遵守国家宪法、法律、法规和政策、遵守社会道德风尚，为振兴肇庆教育，广泛动员社会各方面力量。	筹集、管理、使用基金，奖学奖教，资助困难学生。  	公募	地方	省级民政部门	广东省教育厅	2004-03-05 00:00:00	929万元		526020	Guangdong Sheng	Zhaoqing Shi	[23.062056, 112.450424]		梁日宏	陈七	梁锦芳	肇庆市教育局计划财务科科员	0758-2834479	0758-2834479	446551424@qq.com	0.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			2864	53440000762910748Q
2865	2013	肇庆市端州区教育基金会	Zhaoqing Duanzhou  Education Foundation	粤基证字第0063号	76091084-4	筹集、管理、使用基金、奖学奖教，资助困难学生。	筹集、管理、使用基金、奖学奖教，资助困难学生。	公募	地方	省级民政部门	肇庆市端州区教育局	2005-05-12 00:00:00	470万元		526040	Guangdong Sheng	Zhaoqing Shi	[23.050247, 112.48402]		左树棠	符永和	程桂忠	会计	0758-2250547	0758-2279186	zq2288170@163.com	0.0	0.0	0.0	15.0	未参评	0.0																				2865	534400007629108442
2866	2013	肇庆市职工解困基金会	Zhaoqing Foundation for Poverty Workers	粤基证字第0008号	76291144-1	遵守宪法、法律、法规和国家政策、遵守社会道德风尚，团结、动员社会团结、各界热心人士，发扬“互助友爱”的精神，筹集资金，救济扶助生活特别困难的职工，稳定社会，促进我市经济发	筹集、管理、使用资金，救济扶助生活特别困难的职工。	公募	地方	省级民政部门	广东省总工会	1996-03-13 00:00:00	410万元		526040	Guangdong Sheng	Zhaoqing Shi	[23.051487, 112.46966]		桂娇	黄永群	林荷穗	理事	0758-2265863	0758-2265278	52050047@qq.com	0.0	0.0	0.0	0.0	未参评	0.0																				2866	534400007629114419
2867	2013	肇庆市见义勇为基金会	Zhaoqing Foundation for Justice and Coura	粤基证字第0065号	78941051-6	激发全社会成员参与社会治安的热情，鼓励勇敢地同违法犯罪行为作斗争，促进社会稳定。	筹集、管理、使用基金，对见义勇为者进行精神、物质奖励。  	公募	地方	省级民政部门	中共肇庆市委政法委	1995-10-30 00:00:00	470万元		526060	Guangdong Sheng	Zhaoqing Shi	[23.061705, 112.48687]		林柱凡	梁庚荣	梁庚荣	秘书长	0758-2729488																												2867	53440000789410516N
2868	2013	胡文虎基金会(福建)	Fujian Huwenhu Foundation	基证字第8018号	51215767-7	捐资办学	改善经济不发达地区办学条件，修桥，筑路，赈济灾区，重建装修，维护捐给政府的省重点保护文物，永定县胡文虎纪念馆	非公募	地方	省级民政部门	福建省侨办	1993-10-01 00:00:00	210万元	晋安区金鸡山路68号2—1f	350011	Fujian Sheng	Fuzhou Shi	[26.096539, 119.322365]		林铭侃	胡修华	胡修华	秘书长	0591-87333870	0591-87333870	m13600809531@163.com	0.0	0.0	1.0	0.0		0.0	非营利组织免税资格					0.0	0.0	未举办刊物											8018	2868	53350000512157677C
2869	2013	腾讯公益慈善基金会	Tencent Foundation	基证字第1047号	50002061-4	“致力公益慈善事业，关爱青少年成长，倡导企业公民责任，推动社会和谐进步”	专项资助教育培训国际合作咨询服务	非公募	全国	民政部	民政部	2007-06-26 00:00:00	2,000万元	广东省深圳市南山区高新科技园中区科技中一路腾讯大厦33楼	518057	Guangdong Sheng	Shenzhen Shi	[22.539318, 113.9563]	http://gongyi.qq.com/jjhgy/index.htm	郭凯天	翟红新	窦瑞刚	执行秘书长	0755-86013388	0755-86013152	reagandou@tencent.com	0.0	0.0	11.0	35.0	3A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格					0.0	0.0	未举办刊物											440300500020614	2869	531000005000206140
2870	2013	舟山市人民教育基金会	Zhoushan People's Education Foundation	浙基证字第51050号	50187526X	为推动全社会关心和支持教育，筹集资金，促进我市教育事业发展。为我市社会主义物质文明和精神文明建设，培养有理想、有道德、有文化、有纪律的新一代。	资助贫困学生和学校改善办学条件；奖励优秀教师和对教育事业有重大贡献者。	公募	地方	省级民政部门	浙江省教育厅	1989-02-01 00:00:00	400万元		316000	Zhejiang Sheng	Zhoushan Shi	[29.990923, 122.195045]	http://zjnpo.foundationcenter.org.cn/zssrmjyjjh	王世和	梁宏伟	梁宏伟	秘书长	0580-2063210	0580-2022114	ljb@zhoushan.gov.cn	1.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			2870	5333000050187526XB
2871	2013	舟山市伟兴教育基金会	Zhoushan Weixing Education Foundation	浙基证字第52058号	50188396-4	奖励资助特别优秀及家庭困难学生完成学业，鼓励学生以振兴中华为已任，勤奋学习，积极进取，关心社会，学有所成，报效祖国。为舟山中学改善办学条件和促进学校可持续发展提供一定的财	设立校内奖学助学金；奖励有突出贡献的教职工；改善学校办学条件等。	非公募	地方	省级民政部门	浙江省教育厅	2009-08-28 00:00:00	500万元		316021	Zhejiang Sheng	Zhoushan Shi	[30.019857, 122.10677]	http://zjnpo.foundationcenter.org.cn/zsswxjyjjh	唐华	李任文	李任文	理事长	0580-2686207	0580-2026578	zszxchc@163.com	0.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			2871	53330000501883964Y
2872	2013	舟山市农业技术推广基金会	Zhoushan Agricultural Technology Populari	浙基证字第51134号	A93376324	依靠科技 服务三农	资助农技试验示范推广项目,培训基层农技人员,奖励基层农技服务组织先进集体和个人	公募	地方	省级民政部门	浙江省农业厅	2012-12-20 00:00:00	400万元		316000	Zhejiang Sheng	Zhoushan Shi	[30.021992, 122.112946]	http://zjnpo.foundationcenter.org.cn/zssnyjstgjjh/index.html	姚德隆	陈英苗	张伟庆	副秘书长	0580-2037027	0580-2037027	zwqw@zhoushan.cn	0.0	0.0	4.0	4.0		1.0	无																			2872	53330000A93376324H
2873	2013	舟山市定海区人民教育基金会	Zhoushan Dinghai People's Education Found	浙基证字第51100号	50188352-6	推动全社会关心和支持教育，广泛筹集资金。促进我区教育事业均衡发展，确保我区教育强区地位。加强社会主义物质文明和精神文明的建设，培养有理想、有文化、有道德、有纪律的新一代接	改善办学条件；教师队伍建设中的表彰、奖励；对教育事业有重大贡献的社会各界人士奖励。	公募	地方	省级民政部门	浙江省教育厅	2006-10-15 00:00:00	400万元		316000	Zhejiang Sheng	Zhoushan Shi	[30.016382, 122.10186]	http://zjnpo.foundationcenter.org.cn/zssdhqrmjyjjh	陈仁央	周晓青	黄斌舟	 定海区教育局计财科	0580-2021901	0580-2039723	cjy90000@163.com	0.0	0.0	0.0	0.0		0.0	公益性捐赠税前扣除资格																			2873	53330000501883526A
2874	2013	舟山市普陀区人民教育基金会	Zhoushan Putuo People's Education Foundat	浙基证字第51019号	50187578-8	面向全社会开展募捐，接受捐赠活动，推进全社会关心和支持教育，促进我区教育事业的发展。	（一）根据我区教育事业的发展需要，开展募捐，接受捐赠活动。  （二）资助贫困学生、改善学校办学条件、奖励优秀教师和教育重大贡献人士。	公募	地方	省级民政部门	浙江省教育厅	1989-04-15 00:00:00	400万元		316100	Zhejiang Sheng	Zhoushan Shi	[29.97176, 122.32387]	http://zjnpo.foundationcenter.org.cn/zssptqrmjyjjh	虞央国	周红迅	李满成	普陀区教育局财基科长	0580-3013545	0580-3013545	jwcjk@mail.ptec.gov.cn	0.0	0.0	0.0	0.0	未参评	1.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			2874	53330000501875788Q
2875	2013	芜湖市爱心助学基金会	Wuhu Students Grants Foundation 	基证字第001号	55455142-9	弘扬中华民族团结友善的传统美德，关爱资助芜湖市在校品学兼优、家庭经济状况特别困难的中小学生完成学业  	1、资助我市品学兼优、家庭经济状况特别困难的中小学生，推动社会各界关爱青少年的健康成长。  2、依法开展资金募集活动。  3、按照合法、安全、有效的原则，实现基金的保值增值。	非公募	地方	市级民政部门	芜湖市教育局	2009-05-17 00:00:00	400万元		241000	Anhui Sheng	Wuhu Shi	[31.329344, 118.367744]		孔祥鸣	李光平	甘善云	副主任	0553-3820206	0553-3820206	whsggw2007@163.com	0.0	0.0	6.0	15.0		0.0	公益性捐赠税前扣除资格																			2875	53340200554551429U
2876	2013	芜湖市牵手扶困助学基金会	Wuhu Qianshou Foundation for Poverty Alle	基证字第002号	69735360-6	资助我市品学兼优、家庭困难睿智成才的学子完成学业	资助我市品学兼优、家庭困难睿智成才的学子完成学业.	非公募	地方	市级民政部门	芜湖市	2009-08-28 00:00:00	200万元		241000	Anhui Sheng	Wuhu Shi	[31.324705, 118.37565]		姜纯	郑贤松	田传广	副秘书长	0553-3823821	0553-3873723	240351033@qq.com	0.0	0.0	4.0	0.0		0.0	无																			2876	
2877	2013	芜湖市见义勇为基金会	Wuhu Foundation for Justice and Courage	基证字第5号	69124853			非公募	地方	市级民政部门		2013-05-27 00:00:00			241000	Anhui Sheng	Wuhu Shi	[31.352285, 118.43123]																																		2877	53340200069124853F
2878	2013	芜湖慈善基金会	Wuhu Charity Foundation	基证字第4号	50193664	筹集慈善基金，实施安老、扶幼、助学、济困等慈善项目，发展慈善公益事业，促进社会和谐。	募集、管理基金，资助和举办慈善公益项目，实现慈善基金保值增值。	非公募	地方	市级民政部门	安徽省民政厅民间组织管理局	2012-11-30 00:00:00	1,000万元		241000	Anhui Sheng	Wuhu Shi	[31.081575, 118.196945]		阮治源	万相改	解余琴	兼职	0553-3853808	0553-3853808	1185143235@qq.com	0.0	0.0	0.0	0.0	未参评	0.0	无																			2878	53340200050193664D
